Job 40253330045967, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 5 5 4], delta on 14
Job 44651376557071, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 6 5 4], delta on 13
Job 49049423068175, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 7 3 4], delta on 13
Job 53447469579279, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 0 1 4], delta on 13
Job 57845516090383, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 1 0 4], delta on 13
Job 62243562601487, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 2 3 4], delta on 13
Job 66641609112591, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 3 2 4], delta on 13
Job 71039655623695, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 4 1 5], delta on 13
Job 75437702134799, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 5 6 5], delta on 14
Job 79835748645903, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 6 5 5], delta on 13
Job 84233795157007, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 7 7 5], delta on 13
Job 88631841668111, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 0 1 5], delta on 13
Job 93029888179215, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 1 0 5], delta on 13
Job 97427934690319, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 2 2 5], delta on 13
Job 101825981201423, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 3 2 5], delta on 13
Job 106224027712527, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 4 3 7], delta on 13
Job 110622074223631, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 5 7 7], delta on 14
Job 115020120734735, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 6 5 7], delta on 13
Job 119418167245839, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 7 3 7], delta on 13
Job 123816213756943, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 0 1 7], delta on 13
Job 128214260268047, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 1 0 7], delta on 13
Job 132612306779151, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 2 2 7], delta on 13
Job 137010353290255, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 3 2 7], delta on 13
Job 141408399801359, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 4 5 1], delta on 13
Job 145806446312463, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 5 0 1], delta on 14
Job 150204492823567, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 6 5 1], delta on 13
Job 154602539334671, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 7 7 1], delta on 13
Job 159000585845775, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 0 1 1], delta on 13
Job 163398632356879, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 1 0 1], delta on 13
Job 167796678867983, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 2 1 1], delta on 13
Job 172194725379087, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 3 3 1], delta on 13
Job 176592771890191, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 4 7 0], delta on 13
Job 180990818401295, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 5 1 0], delta on 14
Job 185388864912399, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 6 5 0], delta on 13
Job 189786911423503, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 7 3 0], delta on 13
Job 194184957934607, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 0 1 0], delta on 13
Job 198583004445711, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 1 0 0], delta on 13
Job 202981050956815, Program [2 4 1 2 7 5 4 3 0 3 1 7 5 5 3 0], out [2 4 1 2 7 5 4 3 0 3 1 7 5 2 1 0], delta on 13
